Datos provenientes de SR865 
F,X,Y,R,T,
+1.740000e+05,+4.246307e-01,-4.951701e-01,+6.523071e-01,-4.938542e+01,
+1.750000e+05,+4.219260e-01,-4.947879e-01,+6.502589e-01,-4.954440e+01,
+1.760000e+05,+4.191644e-01,-4.943019e-01,+6.480996e-01,-4.970229e+01,
+1.770000e+05,+4.164922e-01,-4.938874e-01,+6.460576e-01,-4.985927e+01,
+1.780000e+05,+4.137706e-01,-4.933754e-01,+6.439141e-01,-5.001503e+01,
+1.790000e+05,+4.111144e-01,-4.929072e-01,+6.418508e-01,-5.016985e+01,
+1.800000e+05,+4.084275e-01,-4.923682e-01,+6.397182e-01,-5.032373e+01,
+1.810000e+05,+4.057416e-01,-4.917908e-01,+6.375613e-01,-5.047638e+01,
+1.820000e+05,+4.031274e-01,-4.912651e-01,+6.354944e-01,-5.062803e+01,
+1.830000e+05,+4.006011e-01,-4.908160e-01,+6.335468e-01,-5.077888e+01,
+1.840000e+05,+3.979933e-01,-4.902330e-01,+6.314484e-01,-5.092875e+01,
+1.850000e+05,+3.954967e-01,-4.897529e-01,+6.295043e-01,-5.107762e+01,
+1.860000e+05,+3.929836e-01,-4.892173e-01,+6.275107e-01,-5.122542e+01,
+1.870000e+05,+3.904559e-01,-4.886314e-01,+6.254730e-01,-5.137232e+01,
+1.880000e+05,+3.879493e-01,-4.880382e-01,+6.234468e-01,-5.151826e+01,
+1.890000e+05,+3.854703e-01,-4.874474e-01,+6.214437e-01,-5.166327e+01,
+1.900000e+05,+3.830121e-01,-4.868523e-01,+6.194541e-01,-5.180748e+01,
+1.910000e+05,+3.805782e-01,-4.862547e-01,+6.174815e-01,-5.195069e+01,
+1.920000e+05,+3.781665e-01,-4.856541e-01,+6.155240e-01,-5.209301e+01,
+1.930000e+05,+3.757684e-01,-4.850368e-01,+6.135654e-01,-5.223428e+01,
+1.940000e+05,+3.733268e-01,-4.843334e-01,+6.115159e-01,-5.237477e+01,
+1.950000e+05,+3.710372e-01,-4.837920e-01,+6.096913e-01,-5.251412e+01,
+1.960000e+05,+3.686419e-01,-4.830842e-01,+6.076735e-01,-5.265272e+01,
+1.970000e+05,+3.663612e-01,-4.824977e-01,+6.058255e-01,-5.279055e+01,
+1.980000e+05,+3.640280e-01,-4.818083e-01,+6.038672e-01,-5.292730e+01,
+1.990000e+05,+3.617287e-01,-4.811337e-01,+6.019446e-01,-5.306321e+01,
+2.000000e+05,+3.594709e-01,-4.804832e-01,+6.000695e-01,-5.319820e+01,
+2.010000e+05,+3.571965e-01,-4.797843e-01,+5.981491e-01,-5.333253e+01,
+2.020000e+05,+3.549213e-01,-4.790522e-01,+5.962048e-01,-5.346590e+01,
+2.030000e+05,+3.527229e-01,-4.783949e-01,+5.943695e-01,-5.359846e+01,
+2.040000e+05,+3.505664e-01,-4.777657e-01,+5.925850e-01,-5.373018e+01,
+2.050000e+05,+3.483884e-01,-4.770794e-01,+5.907446e-01,-5.386111e+01,
+2.060000e+05,+3.461880e-01,-4.763308e-01,+5.888439e-01,-5.399107e+01,
+2.070000e+05,+3.440695e-01,-4.756700e-01,+5.870653e-01,-5.412041e+01,
+2.080000e+05,+3.419003e-01,-4.749096e-01,+5.851794e-01,-5.424886e+01,
+2.090000e+05,+3.397811e-01,-4.741896e-01,+5.833583e-01,-5.437646e+01,
+2.100000e+05,+3.376651e-01,-4.734438e-01,+5.815211e-01,-5.450313e+01,
+2.110000e+05,+3.355763e-01,-4.727092e-01,+5.797115e-01,-5.462905e+01,
+2.120000e+05,+3.334527e-01,-4.718988e-01,+5.778228e-01,-5.475424e+01,
+2.130000e+05,+3.315038e-01,-4.713121e-01,+5.762203e-01,-5.487884e+01,
+2.140000e+05,+3.294240e-01,-4.705080e-01,+5.743674e-01,-5.500239e+01,
+2.150000e+05,+3.274330e-01,-4.698094e-01,+5.726545e-01,-5.512549e+01,
+2.160000e+05,+3.254020e-01,-4.690248e-01,+5.708509e-01,-5.524770e+01,
+2.170000e+05,+3.234323e-01,-4.682988e-01,+5.691329e-01,-5.536896e+01,
+2.180000e+05,+3.214387e-01,-4.675157e-01,+5.673569e-01,-5.548967e+01,
+2.190000e+05,+3.194482e-01,-4.667147e-01,+5.655703e-01,-5.560985e+01,
+2.200000e+05,+3.174637e-01,-4.658889e-01,+5.637692e-01,-5.572889e+01,
+2.210000e+05,+3.155575e-01,-4.651585e-01,+5.620934e-01,-5.584753e+01,
+2.220000e+05,+3.137111e-01,-4.644859e-01,+5.605013e-01,-5.596513e+01,
+2.230000e+05,+3.117838e-01,-4.636682e-01,+5.587462e-01,-5.608198e+01,
+2.240000e+05,+3.099097e-01,-4.629073e-01,+5.570703e-01,-5.619826e+01,
+2.250000e+05,+3.080444e-01,-4.621333e-01,+5.553904e-01,-5.631374e+01,
+2.260000e+05,+3.061574e-01,-4.613023e-01,+5.536535e-01,-5.642854e+01,
+2.270000e+05,+3.043069e-01,-4.605058e-01,+5.519676e-01,-5.654287e+01,
+2.280000e+05,+3.024905e-01,-4.597386e-01,+5.503272e-01,-5.665660e+01,
+2.290000e+05,+3.006684e-01,-4.589295e-01,+5.486509e-01,-5.676912e+01,
+2.300000e+05,+2.989374e-01,-4.582418e-01,+5.471281e-01,-5.688128e+01,
+2.310000e+05,+2.971650e-01,-4.574657e-01,+5.455107e-01,-5.699266e+01,
+2.320000e+05,+2.953777e-01,-4.566484e-01,+5.438527e-01,-5.710366e+01,
+2.330000e+05,+2.936019e-01,-4.558209e-01,+5.421944e-01,-5.721373e+01,
+2.340000e+05,+2.918376e-01,-4.549877e-01,+5.405395e-01,-5.732312e+01,
+2.350000e+05,+2.901291e-01,-4.542204e-01,+5.389722e-01,-5.743196e+01,
+2.360000e+05,+2.884124e-01,-4.534143e-01,+5.373698e-01,-5.753996e+01,
+2.370000e+05,+2.867625e-01,-4.526982e-01,+5.358809e-01,-5.764771e+01,
+2.380000e+05,+2.850744e-01,-4.518953e-01,+5.343003e-01,-5.775457e+01,
+2.390000e+05,+2.833854e-01,-4.510702e-01,+5.327022e-01,-5.786086e+01,
+2.400000e+05,+2.816882e-01,-4.502081e-01,+5.310702e-01,-5.796643e+01,
+2.410000e+05,+2.800422e-01,-4.494101e-01,+5.295215e-01,-5.807161e+01,
+2.420000e+05,+2.783980e-01,-4.485888e-01,+5.279558e-01,-5.817591e+01,
+2.430000e+05,+2.767561e-01,-4.477517e-01,+5.263796e-01,-5.827971e+01,
+2.440000e+05,+2.751318e-01,-4.469227e-01,+5.248213e-01,-5.838297e+01,
+2.450000e+05,+2.735707e-01,-4.461745e-01,+5.233666e-01,-5.848556e+01,
+2.460000e+05,+2.719886e-01,-4.453737e-01,+5.218578e-01,-5.858768e+01,
+2.470000e+05,+2.704164e-01,-4.445621e-01,+5.203465e-01,-5.868885e+01,
+2.480000e+05,+2.688735e-01,-4.437846e-01,+5.188812e-01,-5.878980e+01,
+2.490000e+05,+2.673170e-01,-4.429654e-01,+5.173748e-01,-5.889022e+01,
+2.500000e+05,+2.657532e-01,-4.421158e-01,+5.158402e-01,-5.899016e+01,
+2.510000e+05,+2.642495e-01,-4.413329e-01,+5.143953e-01,-5.908879e+01,
+2.520000e+05,+2.627582e-01,-4.405608e-01,+5.129676e-01,-5.918740e+01,
+2.530000e+05,+2.612725e-01,-4.397776e-01,+5.115346e-01,-5.928539e+01,
+2.540000e+05,+2.597630e-01,-4.389329e-01,+5.100381e-01,-5.938271e+01,
+2.550000e+05,+2.582605e-01,-4.380827e-01,+5.085420e-01,-5.947961e+01,
+2.560000e+05,+2.567981e-01,-4.372832e-01,+5.071113e-01,-5.957606e+01,
+2.570000e+05,+2.553087e-01,-4.364189e-01,+5.056124e-01,-5.967200e+01,
+2.580000e+05,+2.538665e-01,-4.356157e-01,+5.041917e-01,-5.976738e+01,
+2.590000e+05,+2.523816e-01,-4.347173e-01,+5.026685e-01,-5.986205e+01,
+2.600000e+05,+2.509531e-01,-4.338995e-01,+5.012447e-01,-5.995633e+01,
+2.610000e+05,+2.495762e-01,-4.331552e-01,+4.999117e-01,-6.005023e+01,
+2.620000e+05,+2.481666e-01,-4.323341e-01,+4.984972e-01,-6.014349e+01,
+2.630000e+05,+2.467965e-01,-4.315621e-01,+4.971462e-01,-6.023614e+01,
+2.640000e+05,+2.453865e-01,-4.307059e-01,+4.957037e-01,-6.032850e+01,
+2.650000e+05,+2.439622e-01,-4.298034e-01,+4.942150e-01,-6.042017e+01,
+2.660000e+05,+2.426250e-01,-4.290336e-01,+4.928860e-01,-6.051118e+01,
+2.670000e+05,+2.412534e-01,-4.281914e-01,+4.914784e-01,-6.060204e+01,
+2.680000e+05,+2.399116e-01,-4.273835e-01,+4.901166e-01,-6.069233e+01,
+2.690000e+05,+2.385603e-01,-4.265344e-01,+4.887152e-01,-6.078175e+01,
+2.700000e+05,+2.372912e-01,-4.258214e-01,+4.874741e-01,-6.087102e+01,
+2.710000e+05,+2.359786e-01,-4.250119e-01,+4.861286e-01,-6.095972e+01,
+2.720000e+05,+2.346804e-01,-4.242099e-01,+4.847978e-01,-6.104784e+01,
+2.730000e+05,+2.333729e-01,-4.233719e-01,+4.834321e-01,-6.113537e+01,
+2.740000e+05,+2.320843e-01,-4.225565e-01,+4.820966e-01,-6.122271e+01,
+2.750000e+05,+2.307884e-01,-4.217070e-01,+4.807287e-01,-6.130935e+01,
+2.760000e+05,+2.295318e-01,-4.209184e-01,+4.794342e-01,-6.139584e+01,
+2.770000e+05,+2.282433e-01,-4.200501e-01,+4.780555e-01,-6.148159e+01,
+2.780000e+05,+2.270101e-01,-4.192710e-01,+4.767827e-01,-6.156710e+01,
+2.790000e+05,+2.258115e-01,-4.185308e-01,+4.755616e-01,-6.165164e+01,
+2.800000e+05,+2.245839e-01,-4.177305e-01,+4.742750e-01,-6.173624e+01,
+2.810000e+05,+2.233532e-01,-4.169004e-01,+4.729615e-01,-6.181995e+01,
+2.820000e+05,+2.221533e-01,-4.161138e-01,+4.717019e-01,-6.190329e+01,
+2.830000e+05,+2.209093e-01,-4.152330e-01,+4.703397e-01,-6.198645e+01,
+2.840000e+05,+2.197017e-01,-4.144070e-01,+4.690437e-01,-6.206928e+01,
+2.850000e+05,+2.185225e-01,-4.136136e-01,+4.677909e-01,-6.215138e+01,
+2.860000e+05,+2.173356e-01,-4.127928e-01,+4.665112e-01,-6.223317e+01,
+2.870000e+05,+2.161653e-01,-4.119885e-01,+4.652547e-01,-6.231455e+01,
+2.880000e+05,+2.150470e-01,-4.112659e-01,+4.640957e-01,-6.239536e+01,
+2.890000e+05,+2.139133e-01,-4.104993e-01,+4.628916e-01,-6.247575e+01,
+2.900000e+05,+2.127818e-01,-4.097233e-01,+4.616809e-01,-6.255577e+01,
+2.910000e+05,+2.116252e-01,-4.088838e-01,+4.604033e-01,-6.263535e+01,
+2.920000e+05,+2.104880e-01,-4.080649e-01,+4.591537e-01,-6.271441e+01,
+2.930000e+05,+2.093734e-01,-4.072746e-01,+4.579408e-01,-6.279303e+01,
+2.940000e+05,+2.082641e-01,-4.064839e-01,+4.567308e-01,-6.287143e+01,
+2.950000e+05,+2.071422e-01,-4.056545e-01,+4.554816e-01,-6.294945e+01,
+2.960000e+05,+2.061126e-01,-4.049893e-01,+4.544213e-01,-6.302693e+01,
+2.970000e+05,+2.049798e-01,-4.041065e-01,+4.531212e-01,-6.310395e+01,
+2.980000e+05,+2.039112e-01,-4.033365e-01,+4.519514e-01,-6.318061e+01,
+2.990000e+05,+2.028477e-01,-4.025637e-01,+4.507824e-01,-6.325693e+01,
+3.000000e+05,+2.017728e-01,-4.017547e-01,+4.495766e-01,-6.333288e+01,
+3.010000e+05,+2.007517e-01,-4.010414e-01,+4.484813e-01,-6.340855e+01,
+3.020000e+05,+1.996743e-01,-4.002002e-01,+4.472472e-01,-6.348373e+01,
+3.030000e+05,+1.986285e-01,-3.994056e-01,+4.460696e-01,-6.355836e+01,
+3.040000e+05,+1.975927e-01,-3.986174e-01,+4.449030e-01,-6.363260e+01,
+3.050000e+05,+1.966245e-01,-3.979582e-01,+4.438828e-01,-6.370678e+01,
+3.060000e+05,+1.955936e-01,-3.971531e-01,+4.427047e-01,-6.378024e+01,
+3.070000e+05,+1.945681e-01,-3.963462e-01,+4.415281e-01,-6.385337e+01,
+3.080000e+05,+1.935608e-01,-3.955628e-01,+4.403813e-01,-6.392609e+01,
+3.090000e+05,+1.925369e-01,-3.947358e-01,+4.391888e-01,-6.399866e+01,
+3.100000e+05,+1.915657e-01,-3.940030e-01,+4.381047e-01,-6.407080e+01,
+3.110000e+05,+1.905835e-01,-3.932325e-01,+4.369827e-01,-6.414246e+01,
