Datos provenientes de SR865 
F,X,Y,R,T,
+1.440000e+05,+5.167753e-01,-5.003203e-01,+7.192892e-01,-4.407312e+01,
+1.450000e+05,+5.133753e-01,-5.004153e-01,+7.169168e-01,-4.426759e+01,
+1.460000e+05,+5.099519e-01,-5.004398e-01,+7.144865e-01,-4.446062e+01,
+1.470000e+05,+5.066129e-01,-5.005014e-01,+7.121505e-01,-4.465231e+01,
+1.480000e+05,+5.032424e-01,-5.004871e-01,+7.097467e-01,-4.484272e+01,
+1.490000e+05,+4.998805e-01,-5.004376e-01,+7.073317e-01,-4.503191e+01,
+1.500000e+05,+4.965817e-01,-5.004040e-01,+7.049806e-01,-4.521966e+01,
+1.510000e+05,+4.934496e-01,-5.004979e-01,+7.028447e-01,-4.540628e+01,
+1.520000e+05,+4.901881e-01,-5.004109e-01,+7.004966e-01,-4.559126e+01,
+1.530000e+05,+4.869854e-01,-5.003442e-01,+6.982114e-01,-4.577517e+01,
+1.540000e+05,+4.836940e-01,-5.001382e-01,+6.957716e-01,-4.595758e+01,
+1.550000e+05,+4.805268e-01,-5.000191e-01,+6.934876e-01,-4.613883e+01,
+1.560000e+05,+4.773739e-01,-4.998659e-01,+6.911959e-01,-4.631848e+01,
+1.570000e+05,+4.742777e-01,-4.997323e-01,+6.889642e-01,-4.649701e+01,
+1.580000e+05,+4.711337e-01,-4.995115e-01,+6.866430e-01,-4.667461e+01,
+1.590000e+05,+4.680301e-01,-4.993004e-01,+6.843632e-01,-4.685152e+01,
+1.600000e+05,+4.649177e-01,-4.990329e-01,+6.820427e-01,-4.702691e+01,
+1.610000e+05,+4.618697e-01,-4.988036e-01,+6.798005e-01,-4.720170e+01,
+1.620000e+05,+4.588252e-01,-4.985264e-01,+6.775316e-01,-4.737468e+01,
+1.630000e+05,+4.557885e-01,-4.982227e-01,+6.752547e-01,-4.754682e+01,
+1.640000e+05,+4.529041e-01,-4.980396e-01,+6.731757e-01,-4.771744e+01,
+1.650000e+05,+4.499348e-01,-4.977289e-01,+6.709511e-01,-4.788718e+01,
+1.660000e+05,+4.470325e-01,-4.974537e-01,+6.688036e-01,-4.805582e+01,
+1.670000e+05,+4.440843e-01,-4.970846e-01,+6.665612e-01,-4.822311e+01,
+1.680000e+05,+4.411991e-01,-4.967548e-01,+6.643959e-01,-4.838971e+01,
+1.690000e+05,+4.382406e-01,-4.962975e-01,+6.620921e-01,-4.855485e+01,
+1.700000e+05,+4.354106e-01,-4.959492e-01,+6.599606e-01,-4.871900e+01,
+1.710000e+05,+4.325691e-01,-4.955483e-01,+6.577873e-01,-4.888197e+01,
+1.720000e+05,+4.297882e-01,-4.951779e-01,+6.556822e-01,-4.904375e+01,
+1.730000e+05,+4.269250e-01,-4.946753e-01,+6.534284e-01,-4.920446e+01,
+1.740000e+05,+4.241180e-01,-4.942010e-01,+6.512378e-01,-4.936416e+01,
+1.750000e+05,+4.214920e-01,-4.939052e-01,+6.493058e-01,-4.952300e+01,
+1.760000e+05,+4.187903e-01,-4.934851e-01,+6.472348e-01,-4.968079e+01,
+1.770000e+05,+4.160010e-01,-4.929219e-01,+6.450029e-01,-4.983734e+01,
+1.780000e+05,+4.133047e-01,-4.924349e-01,+6.428942e-01,-4.999297e+01,
+1.790000e+05,+4.106563e-01,-4.919710e-01,+6.408386e-01,-5.014769e+01,
+1.800000e+05,+4.079821e-01,-4.914411e-01,+6.387203e-01,-5.030139e+01,
+1.810000e+05,+4.053524e-01,-4.909308e-01,+6.366503e-01,-5.045414e+01,
+1.820000e+05,+4.027109e-01,-4.903691e-01,+6.345375e-01,-5.060578e+01,
+1.830000e+05,+4.001276e-01,-4.898410e-01,+6.324921e-01,-5.075626e+01,
+1.840000e+05,+3.975285e-01,-4.892577e-01,+6.303983e-01,-5.090567e+01,
+1.850000e+05,+3.951166e-01,-4.888755e-01,+6.285828e-01,-5.105433e+01,
+1.860000e+05,+3.925783e-01,-4.883004e-01,+6.265422e-01,-5.120180e+01,
+1.870000e+05,+3.900696e-01,-4.877299e-01,+6.245276e-01,-5.134838e+01,
+1.880000e+05,+3.875949e-01,-4.871689e-01,+6.225459e-01,-5.149400e+01,
+1.890000e+05,+3.851249e-01,-4.865864e-01,+6.205543e-01,-5.163898e+01,
+1.900000e+05,+3.826307e-01,-4.859393e-01,+6.185008e-01,-5.178295e+01,
+1.910000e+05,+3.802077e-01,-4.853502e-01,+6.165410e-01,-5.192599e+01,
+1.920000e+05,+3.777609e-01,-4.846974e-01,+6.145201e-01,-5.206804e+01,
+1.930000e+05,+3.753777e-01,-4.840952e-01,+6.125820e-01,-5.220924e+01,
+1.940000e+05,+3.729655e-01,-4.834173e-01,+6.105700e-01,-5.234914e+01,
+1.950000e+05,+3.707369e-01,-4.829495e-01,+6.088399e-01,-5.248829e+01,
+1.960000e+05,+3.683600e-01,-4.822533e-01,+6.068422e-01,-5.262628e+01,
+1.970000e+05,+3.660694e-01,-4.816476e-01,+6.049721e-01,-5.276387e+01,
+1.980000e+05,+3.637272e-01,-4.809443e-01,+6.029965e-01,-5.290061e+01,
+1.990000e+05,+3.614335e-01,-4.802766e-01,+6.010822e-01,-5.303661e+01,
+2.000000e+05,+3.591734e-01,-4.796197e-01,+5.992000e-01,-5.317150e+01,
+2.010000e+05,+3.569289e-01,-4.789559e-01,+5.973249e-01,-5.330568e+01,
+2.020000e+05,+3.546841e-01,-4.782535e-01,+5.954219e-01,-5.343850e+01,
+2.030000e+05,+3.524709e-01,-4.775602e-01,+5.935482e-01,-5.357023e+01,
+2.040000e+05,+3.503273e-01,-4.769358e-01,+5.917745e-01,-5.370131e+01,
+2.050000e+05,+3.481550e-01,-4.762530e-01,+5.899397e-01,-5.383209e+01,
+2.060000e+05,+3.459762e-01,-4.755282e-01,+5.880702e-01,-5.396178e+01,
+2.070000e+05,+3.438339e-01,-4.748289e-01,+5.862459e-01,-5.409089e+01,
+2.080000e+05,+3.416942e-01,-4.741002e-01,+5.844022e-01,-5.421889e+01,
+2.090000e+05,+3.395555e-01,-4.733463e-01,+5.825416e-01,-5.434619e+01,
+2.100000e+05,+3.374687e-01,-4.726375e-01,+5.807507e-01,-5.447272e+01,
+2.110000e+05,+3.353667e-01,-4.718812e-01,+5.789151e-01,-5.459854e+01,
+2.120000e+05,+3.333058e-01,-4.711532e-01,+5.771292e-01,-5.472344e+01,
+2.130000e+05,+3.313119e-01,-4.704976e-01,+5.754438e-01,-5.484781e+01,
+2.140000e+05,+3.292954e-01,-4.697829e-01,+5.736998e-01,-5.497137e+01,
+2.150000e+05,+3.272785e-01,-4.690413e-01,+5.719362e-01,-5.509419e+01,
+2.160000e+05,+3.252721e-01,-4.682863e-01,+5.701702e-01,-5.521611e+01,
+2.170000e+05,+3.232764e-01,-4.675238e-01,+5.684066e-01,-5.533750e+01,
