Datos provenientes de SR865 
F,X,Y,R,T,
+1.660000e+06,+9.379125e-01,-3.091267e-01,+9.875420e-01,-1.824171e+01,
+1.670000e+06,+9.371056e-01,-3.108773e-01,+9.873255e-01,-1.835285e+01,
+1.680000e+06,+9.361559e-01,-3.125733e-01,+9.869600e-01,-1.846366e+01,
+1.690000e+06,+9.352932e-01,-3.142931e-01,+9.866881e-01,-1.857425e+01,
+1.700000e+06,+9.345139e-01,-3.160328e-01,+9.865054e-01,-1.868444e+01,
+1.710000e+06,+9.335088e-01,-3.177084e-01,+9.860920e-01,-1.879538e+01,
+1.720000e+06,+9.325591e-01,-3.194174e-01,+9.857454e-01,-1.890720e+01,
+1.730000e+06,+9.316801e-01,-3.211371e-01,+9.854729e-01,-1.901836e+01,
+1.740000e+06,+9.307622e-01,-3.228353e-01,+9.851604e-01,-1.912912e+01,
+1.750000e+06,+9.298316e-01,-3.245660e-01,+9.848502e-01,-1.924200e+01,
+1.760000e+06,+9.289702e-01,-3.262865e-01,+9.846057e-01,-1.935304e+01,
+1.770000e+06,+9.280278e-01,-3.280229e-01,+9.842940e-01,-1.946658e+01,
+1.780000e+06,+9.271187e-01,-3.297609e-01,+9.840179e-01,-1.957964e+01,
+1.790000e+06,+9.261608e-01,-3.314561e-01,+9.836853e-01,-1.969136e+01,
+1.800000e+06,+9.251020e-01,-3.331022e-01,+9.832451e-01,-1.980247e+01,
+1.810000e+06,+9.241671e-01,-3.347097e-01,+9.829117e-01,-1.990909e+01,
+1.820000e+06,+9.232461e-01,-3.363447e-01,+9.826042e-01,-2.001702e+01,
+1.830000e+06,+9.223683e-01,-3.379958e-01,+9.823464e-01,-2.012502e+01,
+1.840000e+06,+9.214090e-01,-3.396289e-01,+9.820092e-01,-2.023375e+01,
+1.850000e+06,+9.203470e-01,-3.412963e-01,+9.815914e-01,-2.034651e+01,
+1.860000e+06,+9.193746e-01,-3.429995e-01,+9.812738e-01,-2.045950e+01,
+1.870000e+06,+9.183674e-01,-3.446724e-01,+9.809168e-01,-2.057161e+01,
+1.880000e+06,+9.173136e-01,-3.463679e-01,+9.805279e-01,-2.068600e+01,
+1.890000e+06,+9.162367e-01,-3.480305e-01,+9.801096e-01,-2.079917e+01,
+1.900000e+06,+9.152733e-01,-3.497483e-01,+9.798209e-01,-2.091308e+01,
+1.910000e+06,+9.142537e-01,-3.514421e-01,+9.794750e-01,-2.102693e+01,
+1.920000e+06,+9.132497e-01,-3.531312e-01,+9.791459e-01,-2.114026e+01,
+1.930000e+06,+9.122530e-01,-3.548104e-01,+9.788237e-01,-2.125298e+01,
+1.940000e+06,+9.111801e-01,-3.564276e-01,+9.784119e-01,-2.136402e+01,
+1.950000e+06,+9.101312e-01,-3.580686e-01,+9.780347e-01,-2.147593e+01,
+1.960000e+06,+9.091232e-01,-3.596631e-01,+9.776823e-01,-2.158451e+01,
+1.970000e+06,+9.081265e-01,-3.613132e-01,+9.773643e-01,-2.169596e+01,
+1.980000e+06,+9.070032e-01,-3.628712e-01,+9.768983e-01,-2.180522e+01,
+1.990000e+06,+9.059188e-01,-3.644578e-01,+9.764826e-01,-2.191528e+01,
+2.000000e+06,+9.049044e-01,-3.660278e-01,+9.761293e-01,-2.202300e+01,
