----- Barrido de N desde 1 a 2048-----
frecuencia: 2000 | Fuente: Highspeed_ADC 
 
Formato: N,X,Y,R,phi 
133,-2020.36994830827,-3024.96575422932,0.222029760071186,-123.738900178075 
134,-2251.16318796642,-2381.2752448694,0.200013454260929,-133.391147037379 
135,-2433.80179398148,-2765.76828703704,0.224868739519617,-131.346909775004 
136,-1783.64395680147,-2214.41871553309,0.1735538666466,-128.850340395372 
137,-2541.30736770073,-3311.78712363139,0.254797038612437,-127.500911728795 
138,-2574.97526041667,-2855.73573369565,0.23470082414377,-132.040519834417 
139,-2993.80373201439,-3145.31154451439,0.26504298862959,-133.586278948793 
140,-2272.82114955357,-2559.57393973214,0.208931550102953,-131.604068816132 
141,-2678.40746897163,-1836.83909574468,0.198232643501888,-145.55785587581 
142,-2155.1220290493,-2426.34259463028,0.198080778693646,-131.61207068718 
143,-2261.74262456294,-2907.8356097028,0.224853184090614,-127.876121789658 
144,-2222.09830729167,-3373.27425130208,0.246552539230305,-123.374348025031 
145,-2591.74191810345,-3405.94024784483,0.261232416790729,-127.269232029412 
146,-2295.14442422945,-2662.54580479452,0.214559126599788,-130.761707941199 
147,-2493.51110756803,-3102.78571428571,0.242961661207382,-128.786621133124 
148,-1536.31550886824,-2440.46394636824,0.176016726295876,-122.191145566143 
149,-2076.67958263423,-2322.71125209732,0.190173031716453,-131.799123182525 
150,-2722.46859375,-2657.92770833333,0.232232943106132,-135.687262197645 
151,-2497.85001034768,-3131.43863824503,0.244492406952619,-128.578261776154 
152,-2437.65095600329,-2601.02055921053,0.217581778119388,-133.142940905334 
153,-2003.9621119281,-2830.77001633987,0.211694852462685,-125.295486316174 
154,-2413.69551542208,-3275.58522727273,0.248349306726868,-126.385558026136 
155,-2735.56824596774,-2436.6669858871,0.223604515311322,-138.307419987802 
156,-2208.29296875,-2512.41276041667,0.204166553995858,-131.313954824607 
157,-1760.33917197452,-3066.01244028662,0.215791771253225,-119.862121156474 
158,-2069.88390031646,-2878.76587223101,0.216416580933638,-125.716807298036 
159,-2205.15870676101,-2525.6645538522,0.204648908690876,-131.124223413259 
160,-2076.32236328125,-3160.07553710938,0.230790904163689,-123.306848215211 
161,-1827.93740295031,-3049.97598020186,0.217035388980637,-120.935456614292 
162,-1978.64597800926,-2634.05063657407,0.201082127405253,-126.913140424713 
163,-2854.77156825153,-2769.25733320552,0.242759401690947,-135.871124118266 
164,-2003.76229039634,-2765.07555259146,0.208427845718043,-125.929648504056 
165,-2319.7196969697,-3180.62831439394,0.240283572441221,-126.104299806906 
166,-2295.49887048193,-2947.11262236446,0.228010545760714,-127.91493831023 
