Datos provenientes de SR865 
F,X,Y,R,T,
+1.690000e+04,+1.787669e-01,-3.803866e-01,+4.202994e-01,-6.482830e+01,
+1.700000e+04,+1.770947e-01,-3.789826e-01,+4.183185e-01,-6.495378e+01,
+1.710000e+04,+1.754322e-01,-3.775580e-01,+4.163249e-01,-6.507806e+01,
+1.720000e+04,+1.737873e-01,-3.761300e-01,+4.143378e-01,-6.520114e+01,
+1.730000e+04,+1.721866e-01,-3.747571e-01,+4.124210e-01,-6.532302e+01,
+1.740000e+04,+1.705833e-01,-3.733409e-01,+4.104657e-01,-6.544385e+01,
+1.750000e+04,+1.690204e-01,-3.719721e-01,+4.085720e-01,-6.556342e+01,
+1.760000e+04,+1.674650e-01,-3.705822e-01,+4.066642e-01,-6.568192e+01,
+1.770000e+04,+1.659439e-01,-3.692285e-01,+4.048050e-01,-6.579922e+01,
+1.780000e+04,+1.644250e-01,-3.678432e-01,+4.029196e-01,-6.591547e+01,
+1.790000e+04,+1.629269e-01,-3.664663e-01,+4.010520e-01,-6.603059e+01,
+1.800000e+04,+1.614630e-01,-3.651314e-01,+3.992383e-01,-6.614474e+01,
+1.810000e+04,+1.599996e-01,-3.637616e-01,+3.973945e-01,-6.625783e+01,
+1.820000e+04,+1.585513e-01,-3.623899e-01,+3.955565e-01,-6.636985e+01,
+1.830000e+04,+1.571359e-01,-3.610591e-01,+3.937707e-01,-6.648092e+01,
+1.840000e+04,+1.557486e-01,-3.597589e-01,+3.920256e-01,-6.659101e+01,
+1.850000e+04,+1.543545e-01,-3.584064e-01,+3.902313e-01,-6.669996e+01,
+1.860000e+04,+1.529793e-01,-3.570661e-01,+3.884570e-01,-6.680806e+01,
+1.870000e+04,+1.516388e-01,-3.557724e-01,+3.867406e-01,-6.691512e+01,
+1.880000e+04,+1.503100e-01,-3.544743e-01,+3.850262e-01,-6.702127e+01,
+1.890000e+04,+1.489894e-01,-3.531624e-01,+3.833035e-01,-6.712646e+01,
+1.900000e+04,+1.476898e-01,-3.518664e-01,+3.816048e-01,-6.723061e+01,
+1.910000e+04,+1.464184e-01,-3.506079e-01,+3.799530e-01,-6.733395e+01,
+1.920000e+04,+1.451468e-01,-3.493196e-01,+3.782747e-01,-6.743647e+01,
+1.930000e+04,+1.438898e-01,-3.480347e-01,+3.766064e-01,-6.753808e+01,
+1.940000e+04,+1.426733e-01,-3.468154e-01,+3.750155e-01,-6.763866e+01,
+1.950000e+04,+1.414510e-01,-3.455514e-01,+3.733820e-01,-6.773833e+01,
+1.960000e+04,+1.402393e-01,-3.442850e-01,+3.717516e-01,-6.783721e+01,
+1.970000e+04,+1.390537e-01,-3.430516e-01,+3.701625e-01,-6.793515e+01,
+1.980000e+04,+1.378769e-01,-3.418126e-01,+3.685727e-01,-6.803234e+01,
+1.990000e+04,+1.367241e-01,-3.406035e-01,+3.670207e-01,-6.812862e+01,
+2.000000e+04,+1.355944e-01,-3.394255e-01,+3.655072e-01,-6.822417e+01,
+2.010000e+04,+1.344426e-01,-3.381631e-01,+3.639081e-01,-6.831885e+01,
+2.020000e+04,+1.333361e-01,-3.369898e-01,+3.624096e-01,-6.841286e+01,
+2.030000e+04,+1.322362e-01,-3.358032e-01,+3.609019e-01,-6.850594e+01,
+2.040000e+04,+1.311427e-01,-3.346066e-01,+3.593884e-01,-6.859825e+01,
+2.050000e+04,+1.300618e-01,-3.334160e-01,+3.578858e-01,-6.868980e+01,
+2.060000e+04,+1.289707e-01,-3.321711e-01,+3.563300e-01,-6.878051e+01,
+2.070000e+04,+1.279309e-01,-3.310353e-01,+3.548953e-01,-6.887063e+01,
+2.080000e+04,+1.269033e-01,-3.299025e-01,+3.534686e-01,-6.895980e+01,
+2.090000e+04,+1.258552e-01,-3.286934e-01,+3.519643e-01,-6.904839e+01,
