Barrido en f -> f_inicial:10000, f_final:500000, step: 10
Parametros -> M:128,	N:256, Modo:0,	Fuente:1
Formato -> f,x,y,r,phi

14868.951613,121722667.582947,-153.219971,7429.588768,-0.000072
14880.952381,121722756.629211,-1023.208374,7429.594204,-0.000482
14892.578125,121722501.050751,-3059.822235,7429.578606,-0.001440
14914.772727,121723514.323853,-3016.413574,7429.640453,-0.001420
14935.661765,121722381.908783,-4240.481415,7429.571336,-0.001996
14945.652174,121721860.716644,-4685.610718,7429.539525,-0.002206
14973.958333,121723024.251801,-6242.285431,7429.610548,-0.002938
15000.000000,121719023.618286,-8034.770264,7429.366368,-0.003782
15024.038462,121721139.726410,-9098.826935,7429.495533,-0.004283
15046.296296,121721336.473022,-11435.318665,7429.507554,-0.005383
15066.964286,121722023.201508,-13335.969116,7429.549482,-0.006278
15086.206897,121720660.489166,-16733.331482,7429.466331,-0.007877
15104.166667,121720094.620270,-13979.330902,7429.431771,-0.006581
15120.967742,121720976.274567,-15548.366119,7429.485596,-0.007319
15136.718750,121720842.788086,-15480.850586,7429.477448,-0.007287
15151.515152,121719954.616241,-17801.935547,7429.423256,-0.008380
15165.441176,121720516.766113,-16792.125519,7429.457559,-0.007905
15190.972222,121720282.508942,-17774.742950,7429.443270,-0.008367
15213.815789,121720832.439331,-19596.053436,7429.476853,-0.009224
15234.375000,121721237.549713,-20106.626892,7429.501585,-0.009465
15252.976190,121720632.930481,-20750.236969,7429.464687,-0.009768
15269.886364,121721281.591888,-20644.587921,7429.504278,-0.009718
15285.326087,121721639.636810,-21161.358002,7429.526138,-0.009961
15299.479167,121720547.226501,-21403.835693,7429.459463,-0.010075
15312.500000,121720054.833527,-21009.859619,7429.429404,-0.009890
15324.519231,121720267.317780,-21304.355530,7429.442377,-0.010029
15335.648148,121721022.532654,-22655.130157,7429.488488,-0.010664
15345.982143,121721539.506622,-22876.395355,7429.520045,-0.010769
15355.603448,121720873.272949,-21513.164917,7429.479365,-0.010127
15372.983871,121720164.476837,-21334.410126,7429.436100,-0.010043
15380.859375,121719295.194733,-21580.197662,7429.383044,-0.010159
15388.257576,121718589.621033,-21897.394379,7429.339982,-0.010308
15625.000000,121720483.050903,-13616.374786,7429.455477,-0.006410
15869.140625,121722466.606079,3808.275177,7429.576505,0.001793
15877.016129,121724027.946198,5145.373169,7429.671807,0.002422
15894.396552,121725131.997498,5783.411163,7429.739197,0.002722
15904.017857,121723235.971710,7394.858124,7429.623475,0.003481
15914.351852,121725410.557434,6892.018219,7429.756203,0.003244
15925.480769,121723479.204193,7508.996124,7429.638321,0.003535
15937.500000,121723767.117004,8327.914673,7429.655898,0.003920
15950.520833,121723485.330627,9137.442627,7429.638702,0.004301
15964.673913,121725142.173340,9261.651306,7429.739831,0.004360
15980.113636,121723731.844177,11032.320801,7429.653758,0.005193
15997.023810,121726489.385071,11473.346863,7429.822073,0.005401
16015.625000,121724866.145264,13493.679962,7429.723007,0.006352
16036.184211,121727960.637939,14364.053925,7429.911892,0.006761
16059.027778,121725247.132263,15151.146118,7429.746274,0.007132
16084.558824,121727261.235870,15479.973297,7429.869211,0.007286
16113.281250,121723453.356323,16732.927124,7429.636800,0.007876
16129.032258,121728297.136108,16842.292938,7429.932450,0.007928
16145.833333,121730709.924805,17664.889435,7430.079727,0.008315
16163.793103,121727348.877502,18009.449249,7429.874582,0.008477
16183.035714,121725947.015594,18196.507721,7429.789018,0.008565
16203.703704,121727044.315735,17990.935730,7429.855992,0.008468
16225.961538,121729451.433167,17786.726196,7430.002913,0.008372
16250.000000,121726228.591187,17882.489716,7429.806202,0.008417
16276.041667,121725366.730835,17439.568878,7429.753592,0.008209
16304.347826,121726462.719940,17879.684998,7429.820492,0.008416
16335.227273,121728881.011902,15593.704193,7429.968078,0.007340
16369.047619,121727832.008575,14842.773438,7429.904045,0.006987
16381.048387,121726908.919739,14688.177368,7429.847701,0.006914
16406.250000,121725035.617188,13709.460297,7429.733353,0.006453
16433.189655,121726596.864441,9948.111633,7429.828625,0.004683
16447.368421,121727294.983643,11131.672333,7429.871242,0.005240
16462.053571,121724430.601471,10216.528687,7429.696404,0.004809
16493.055556,121726947.858765,8441.978912,7429.850041,0.003974
16526.442308,121727097.878937,5502.175110,7429.859188,0.002590
16544.117647,121727650.642365,4266.112305,7429.892924,0.002008
16562.500000,121728070.470184,3004.262177,7429.918547,0.001414
16601.562500,121725511.161011,-369.503998,7429.762332,-0.000174
16644.021739,121726822.801117,-4547.024353,7429.842395,-0.002140
16666.666667,121727567.131927,-5380.855560,7429.887829,-0.002533
16690.340909,121724151.666718,-8187.267090,7429.679369,-0.003854
16702.586207,121726334.559021,-19966.284882,7429.812689,-0.009398
16741.071429,121724073.028900,-11726.373871,7429.674587,-0.005520
16782.407407,121725990.314697,-15314.410156,7429.791637,-0.007209
16796.875000,121724714.452209,-16853.940918,7429.713774,-0.007933
16826.923077,121726325.724152,-20745.886017,7429.812158,-0.009765
16858.552632,121726731.980774,-21338.272644,7429.836961,-0.010044
16875.000000,121725368.847473,-22743.665100,7429.753775,-0.010706
16927.083333,121725390.647156,-25726.332489,7429.755142,-0.012110
16971.982759,121726329.828827,-29233.187103,7429.812515,-0.013760
16983.695652,121726560.141937,-29443.345520,7429.826576,-0.013859
17003.676471,121727103.022034,-30317.855682,7429.859725,-0.014271
17020.089286,121725674.744263,-31966.928131,7429.772573,-0.015047
17045.454545,121724474.287018,-32054.489044,7429.699302,-0.015089
17071.759259,121724363.865753,-32185.777893,7429.692564,-0.015150
17089.843750,121723249.532349,-33748.291504,7429.624574,-0.015886
17113.095238,121724649.588196,-34677.374878,7429.710045,-0.016323
17127.403846,121724589.150330,-33792.304535,7429.706341,-0.015907
17187.500000,121727847.529419,-34661.598846,7429.905238,-0.016315
17241.379310,121725698.252716,-32838.061920,7429.774022,-0.015457
17252.604167,121725782.591187,-33059.792969,7429.779173,-0.015562
17269.736842,121724576.641937,-32782.392395,7429.705561,-0.015431
17299.107143,121725000.005310,-32536.390656,7429.731398,-0.015315
17323.369565,121726755.482178,-30955.289429,7429.838522,-0.014571
17361.111111,121725274.871613,-29844.149841,7429.748133,-0.014048
17400.568182,121726674.425323,-27441.135742,7429.833523,-0.012917
17427.884615,121724508.788147,-25789.864807,7429.701317,-0.012140
17463.235294,121725193.398163,-23707.403351,7429.743077,-0.011159
17485.119048,121724933.217560,-22128.381927,7429.727178,-0.010416
17500.000000,121726105.001740,-13257.367004,7429.798622,-0.006240
17510.775862,121726785.528290,-19716.806519,7429.840213,-0.009281
17578.125000,121727857.762878,-13225.061554,7429.905605,-0.006225
17650.462963,121725973.584412,-3735.817932,7429.790560,-0.001758
17663.043478,121725623.715027,-5430.419617,7429.769209,-0.002556
17680.921053,121726209.683197,-3977.237946,7429.804971,-0.001872
17708.333333,121725720.692963,1085.146820,7429.775121,0.000511
17728.365385,121728457.703491,1464.528534,7429.942180,0.000689
