Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
169999.968750,40392292.305364,-55511075.064790,0.523785,-54.305638
170999.984375,40097061.498397,-55387033.954594,0.521696,-54.444521
171999.937500,39816352.816129,-55388908.332796,0.520454,-54.636432
172999.953125,39502750.071351,-55183318.638919,0.517785,-54.756163
173999.968750,39200210.841304,-55004071.961957,0.515331,-54.876342
174999.984375,38958101.395514,-55066028.537746,0.514647,-55.074363
176000.000000,38635818.887789,-54898734.227173,0.512186,-55.222727
176999.937500,38351005.708518,-54731988.818031,0.509896,-55.340139
177999.953125,38078017.817019,-54616700.076196,0.507982,-55.475601
178999.968750,37813213.827740,-54505573.300336,0.506132,-55.614831
180000.000000,37554558.311761,-54491212.808104,0.504920,-55.791744
180999.937500,37246337.643100,-54277514.044118,0.502244,-55.907090
181999.953125,36971619.610006,-54066944.708357,0.499734,-56.007761
182999.968750,36759622.377574,-54138582.203661,0.499275,-56.196390
183999.984375,36470965.126509,-53942950.599195,0.496804,-56.309829
184999.921875,36203191.245807,-53882464.821284,0.495279,-56.475726
185999.937500,35934338.874419,-53733866.579651,0.493195,-56.607071
186999.968750,35679790.108645,-53480787.360397,0.490511,-56.670266
187999.984375,35432704.780259,-53437465.536428,0.489192,-56.832460
189000.000000,35169106.933845,-53318107.870644,0.487323,-56.977634
189999.937500,34930178.180523,-53216697.373515,0.485674,-57.106898
190999.953125,34683082.265513,-53005950.091885,0.483296,-57.189146
191999.968750,34474420.375750,-53051091.101441,0.482715,-57.369657
192999.984375,34202740.364897,-52836293.317250,0.480212,-57.478043
193999.937500,33991731.155246,-52796258.440267,0.479082,-57.619825
194999.953125,33735514.318708,-52596707.753809,0.476745,-57.718312
195999.968750,33510362.772059,-52554523.542892,0.475548,-57.871594
196999.984375,33273205.566502,-52399353.636700,0.473578,-57.987027
198000.000000,33043999.336634,-52254714.269183,0.471710,-58.094492
198999.937500,32813121.261194,-52108156.013060,0.469824,-58.203176
199999.953125,32575956.771250,-51987245.158750,0.468080,-58.330435
200999.968750,32350257.951005,-51857215.194724,0.466326,-58.453175
201999.984375,32146053.876263,-51765477.806187,0.464909,-58.570432
202999.937500,31925560.097716,-51665061.086929,0.463372,-58.697173
203999.953125,31697613.938138,-51552359.931760,0.461727,-58.824675
204999.968750,31477720.340167,-51356471.051890,0.459576,-58.913774
205999.984375,31285971.368319,-51307669.759176,0.458495,-59.045335
206999.921875,31060941.756145,-51110332.793661,0.456316,-59.130973
207999.937500,30871444.076073,-51061037.847204,0.455245,-59.261894
208999.968750,30649564.192031,-50876258.839321,0.453163,-59.361715
209999.984375,30448932.758530,-50727452.297244,0.451401,-59.453782
211000.000000,30247039.314436,-50570071.759394,0.449580,-59.543345
211999.937500,30050952.978794,-50563135.155732,0.448768,-59.703805
212999.953125,29837641.946108,-50292532.385895,0.446162,-59.757276
213999.968750,29648332.612040,-50291226.048829,0.445418,-59.916415
214999.984375,29440056.181452,-50165733.549731,0.443787,-60.030375
215999.937500,29241475.169366,-49901545.550607,0.441282,-60.067576
216999.953125,29075399.494573,-49999236.099729,0.441287,-60.258451
217999.968750,28882227.702997,-49754685.677112,0.438933,-60.312002
218999.984375,28673212.336756,-49661763.357290,0.437521,-60.446007
220000.000000,28497107.852234,-49454382.831615,0.435479,-60.495012
220999.937500,28324932.415055,-49391094.900552,0.434405,-60.613340
221999.953125,28120310.913949,-49316557.888966,0.433137,-60.755067
222999.968750,27922025.147735,-49150625.551916,0.431288,-60.856468
223999.984375,27777214.491597,-49106762.362045,0.430452,-60.962338
224999.937500,27590268.566409,-48807859.212930,0.427765,-60.978235
225999.953125,27405741.121469,-48776426.218220,0.426865,-61.126905
226999.968750,27252904.462740,-48783829.195884,0.426344,-61.267248
227999.984375,27034781.211538,-48461053.425926,0.423383,-61.311913
228999.921875,26911880.389406,-48493770.246242,0.423145,-61.439264
229999.937500,26704499.968391,-48205118.735632,0.420452,-61.482167
230999.968750,26567834.163899,-48239079.462816,0.420174,-61.623669
231999.984375,26379765.316171,-48105060.421320,0.418587,-61.728192
233000.000000,26203811.091703,-47846731.564047,0.416213,-61.770863
233999.937500,26076858.643014,-47902503.338698,0.416123,-61.915983
234999.953125,25932668.024982,-47846177.905952,0.415220,-62.020963
235999.968750,25729749.394543,-47592625.005162,0.412782,-62.081943
236999.984375,25591212.245185,-47511930.510370,0.411738,-62.170589
237999.937500,25413433.453869,-47420797.232887,0.410483,-62.291253
238999.953125,25264712.390590,-47208328.977595,0.408519,-62.335761
239999.968750,25098384.639160,-47169396.579895,0.407659,-62.473321
240999.984375,24958753.056476,-46973431.757530,0.405839,-62.506947
242000.000000,24788913.008321,-46936613.881997,0.404984,-62.650197
242999.937500,24639549.153379,-46746691.332574,0.403171,-62.697235
243999.953125,24489149.055640,-46565926.286585,0.401416,-62.762552
244999.968750,24370687.892037,-46552351.195253,0.400904,-62.869989
245999.984375,24217465.122982,-46378163.413528,0.399185,-62.930175
246999.937500,24038095.828704,-46239188.469907,0.397612,-63.034262
