Barrido en f -> f_inicial:1000, f_final:500000, step: 1000
Parametros -> N:32, Modo:1,	Fuente:1
Formato -> f,x,y,r,phi
147999.968750,47616222.313136,-57742357.528215,0.571025,-50.491390
148999.984375,47261270.649744,-57706097.275734,0.569092,-50.684032
149999.937500,46866503.167839,-57567250.698078,0.566366,-50.851863
150999.953125,46506044.831052,-57456135.207645,0.563974,-51.014164
151999.968750,46154143.461758,-57379786.314489,0.561835,-51.189618
152999.984375,45766813.908222,-57194365.919694,0.558882,-51.334791
154000.000000,45419979.284408,-57139673.552936,0.556906,-51.520544
154999.937500,45096885.406008,-57118475.546996,0.555249,-51.709290
155999.953125,44732421.273038,-56987755.574354,0.552745,-51.871462
156999.968750,44390962.142296,-56882807.210991,0.550509,-52.033296
158000.000000,44059583.392099,-56794407.895802,0.548424,-52.198186
158999.937500,43709613.505216,-56619734.447591,0.545736,-52.333924
159999.953125,43372341.311500,-56557295.951500,0.543789,-52.517875
160999.968750,43042632.051334,-56498036.368395,0.541902,-52.699846
161999.984375,42737018.225823,-56372414.114430,0.539728,-52.835088
162999.921875,42407829.892511,-56251176.947529,0.537476,-52.988878
163999.937500,42049790.464139,-56021091.473361,0.534431,-53.109438
164999.968750,41766608.582259,-56052067.193914,0.533326,-53.310322
165999.984375,41447627.509855,-55880201.572614,0.530822,-53.436400
167000.000000,41137532.300104,-55810649.778706,0.528988,-53.607985
167999.937500,40829735.042017,-55752493.513130,0.527240,-53.784807
168999.953125,40520553.574221,-55617800.975700,0.525019,-53.926243
169999.968750,40212447.584174,-55376474.475305,0.522147,-54.015760
170999.984375,39921129.127671,-55269176.983974,0.520181,-54.160878
171999.937500,39641074.708602,-55285716.427419,0.519035,-54.360248
172999.953125,39306630.970811,-55062359.335676,0.516164,-54.480211
173999.968750,39021140.072283,-54867995.594565,0.513692,-54.581851
174999.984375,38782516.913020,-54939209.309081,0.513083,-54.782701
176000.000000,38479692.562156,-54776092.441144,0.510735,-54.913937
176999.937500,38177556.118363,-54607891.158186,0.508362,-55.043395
177999.953125,37893482.164627,-54469073.548943,0.506253,-55.175754
178999.968750,37627482.689038,-54377320.700783,0.504521,-55.319554
180000.000000,37371919.882386,-54378404.951604,0.503421,-55.502583
180999.937500,37083940.879525,-54141373.907240,0.500687,-55.592585
181999.953125,36789084.465037,-53946479.256396,0.498190,-55.709405
182999.968750,36555289.732265,-53993686.049199,0.497485,-55.902510
183999.984375,36295899.336975,-53807969.363427,0.495203,-56.000213
184999.921875,36041457.592828,-53771584.340659,0.493889,-56.168912
185999.937500,35791144.668605,-53621401.147093,0.491875,-56.279393
186999.968750,35512692.300234,-53355210.739486,0.489007,-56.354325
187999.984375,35268369.897767,-53327141.494125,0.487798,-56.522662
189000.000000,35008761.870053,-53188379.760780,0.485823,-56.648630
189999.937500,34759704.643112,-53077484.344418,0.484073,-56.781444
190999.953125,34515861.936158,-52865075.025656,0.481698,-56.860964
191999.968750,34308876.913565,-52917145.807323,0.481170,-57.044289
192999.984375,34056624.919783,-52707460.471049,0.478781,-57.133392
193999.937500,33803489.853244,-52622827.921771,0.477193,-57.286091
194999.953125,33550865.296770,-52431083.142596,0.474921,-57.386347
195999.968750,33327141.193627,-52398268.496324,0.473792,-57.543902
196999.984375,33101269.586823,-52252460.503695,0.471929,-57.647961
198000.000000,32879472.504332,-52117143.866955,0.470152,-57.754846
198999.937500,32645896.949005,-51970735.047264,0.468257,-57.866343
199999.953125,32411330.156875,-51834401.103750,0.466425,-57.984541
200999.968750,32191266.234925,-51711425.347990,0.464741,-58.098728
201999.984375,31964482.956439,-51586248.347222,0.463017,-58.218043
202999.937500,31754942.937817,-51501735.835025,0.461627,-58.344565
203999.953125,31540683.494260,-51427824.734056,0.460291,-58.480936
204999.968750,31319078.628443,-51222047.295964,0.458069,-58.558549
205999.984375,31128857.124920,-51145781.254346,0.456816,-58.675782
206999.921875,30898366.243208,-50950623.984476,0.454631,-58.767542
207999.937500,30714867.639142,-50922299.455137,0.453721,-58.904565
208999.968750,30498010.989549,-50744115.383410,0.451703,-58.995211
209999.984375,30306930.943570,-50590936.770341,0.449951,-59.077667
211000.000000,30073366.709295,-50438327.007910,0.448037,-59.196643
211999.937500,29897954.628231,-50428897.275679,0.447292,-59.339174
212999.953125,29667365.245509,-50145678.966733,0.444536,-59.392193
213999.968750,29483535.965217,-50137477.369900,0.443769,-59.543936
214999.984375,29276320.996640,-50025565.113575,0.442233,-59.664428
215999.937500,29082955.369096,-49772953.741565,0.439824,-59.703486
216999.953125,28927562.224559,-49819215.578697,0.439533,-59.860143
217999.968750,28735658.376022,-49600138.059946,0.437352,-59.916066
218999.984375,28561126.320329,-49528164.252567,0.436210,-60.031255
220000.000000,28346019.291409,-49305515.269416,0.433919,-60.106934
