Datos provenientes de SR865 
F,X,Y,R,T,
+2.480000e+04,+9.700289e-02,-2.873765e-01,+3.033065e-01,-7.134807e+01,
+2.490000e+04,+9.633192e-02,-2.864611e-01,+3.022248e-01,-7.141309e+01,
+2.500000e+04,+9.566306e-02,-2.855377e-01,+3.011365e-01,-7.147771e+01,
+2.510000e+04,+9.500673e-02,-2.846389e-01,+3.000760e-01,-7.154203e+01,
+2.520000e+04,+9.435789e-02,-2.837443e-01,+2.990221e-01,-7.160568e+01,
+2.530000e+04,+9.370700e-02,-2.828297e-01,+2.979491e-01,-7.166895e+01,
+2.540000e+04,+9.306127e-02,-2.819161e-01,+2.968789e-01,-7.173180e+01,
+2.550000e+04,+9.244192e-02,-2.810663e-01,+2.958780e-01,-7.179411e+01,
+2.560000e+04,+9.181843e-02,-2.801883e-01,+2.948493e-01,-7.185589e+01,
+2.570000e+04,+9.119754e-02,-2.793064e-01,+2.938181e-01,-7.191740e+01,
+2.580000e+04,+9.058829e-02,-2.784457e-01,+2.928109e-01,-7.197844e+01,
+2.590000e+04,+8.997745e-02,-2.775690e-01,+2.917885e-01,-7.203925e+01,
+2.600000e+04,+8.937766e-02,-2.767041e-01,+2.907809e-01,-7.209912e+01,
+2.610000e+04,+8.877477e-02,-2.758240e-01,+2.897582e-01,-7.215907e+01,
+2.620000e+04,+8.818910e-02,-2.749778e-01,+2.887735e-01,-7.221824e+01,
+2.630000e+04,+8.760124e-02,-2.741148e-01,+2.877723e-01,-7.227722e+01,
+2.640000e+04,+8.702040e-02,-2.732598e-01,+2.867813e-01,-7.233576e+01,
+2.650000e+04,+8.645020e-02,-2.724251e-01,+2.858130e-01,-7.239391e+01,
+2.660000e+04,+8.587827e-02,-2.715777e-01,+2.848325e-01,-7.245200e+01,
+2.670000e+04,+8.531735e-02,-2.707425e-01,+2.838671e-01,-7.250912e+01,
+2.680000e+04,+8.475272e-02,-2.698870e-01,+2.828816e-01,-7.256612e+01,
+2.690000e+04,+8.420786e-02,-2.690848e-01,+2.819532e-01,-7.262291e+01,
+2.700000e+04,+8.365978e-02,-2.682573e-01,+2.809999e-01,-7.267918e+01,
+2.710000e+04,+8.312634e-02,-2.674622e-01,+2.800822e-01,-7.273492e+01,
+2.720000e+04,+8.258940e-02,-2.666338e-01,+2.791319e-01,-7.278971e+01,
+2.730000e+04,+8.205555e-02,-2.658197e-01,+2.781963e-01,-7.284513e+01,
+2.740000e+04,+8.153526e-02,-2.650311e-01,+2.772895e-01,-7.289979e+01,
+2.750000e+04,+8.101499e-02,-2.642386e-01,+2.763792e-01,-7.295457e+01,
+2.760000e+04,+8.049563e-02,-2.634294e-01,+2.754534e-01,-7.300851e+01,
+2.770000e+04,+7.998617e-02,-2.626433e-01,+2.745529e-01,-7.306226e+01,
+2.780000e+04,+7.948054e-02,-2.618563e-01,+2.736529e-01,-7.311552e+01,
+2.790000e+04,+7.897985e-02,-2.610765e-01,+2.727613e-01,-7.316858e+01,
+2.800000e+04,+7.848923e-02,-2.603161e-01,+2.718916e-01,-7.322114e+01,
+2.810000e+04,+7.800020e-02,-2.595518e-01,+2.710188e-01,-7.327348e+01,
+2.820000e+04,+7.751190e-02,-2.587731e-01,+2.701326e-01,-7.332513e+01,
+2.830000e+04,+7.703088e-02,-2.580149e-01,+2.692683e-01,-7.337689e+01,
+2.840000e+04,+7.655247e-02,-2.572535e-01,+2.684020e-01,-7.342825e+01,
+2.850000e+04,+7.608206e-02,-2.565058e-01,+2.675513e-01,-7.347914e+01,
+2.860000e+04,+7.560788e-02,-2.557322e-01,+2.666749e-01,-7.352955e+01,
+2.870000e+04,+7.514524e-02,-2.549947e-01,+2.658367e-01,-7.358010e+01,
+2.880000e+04,+7.468215e-02,-2.542422e-01,+2.649840e-01,-7.363015e+01,
+2.890000e+04,+7.421990e-02,-2.534791e-01,+2.641217e-01,-7.367971e+01,
+2.900000e+04,+7.377412e-02,-2.527621e-01,+2.633084e-01,-7.372897e+01,
+2.910000e+04,+7.332125e-02,-2.520127e-01,+2.624622e-01,-7.377803e+01,
+2.920000e+04,+7.288179e-02,-2.512951e-01,+2.616505e-01,-7.382652e+01,
+2.930000e+04,+7.243943e-02,-2.505629e-01,+2.608242e-01,-7.387506e+01,
+2.940000e+04,+7.200957e-02,-2.498624e-01,+2.600319e-01,-7.392318e+01,
+2.950000e+04,+7.157958e-02,-2.491485e-01,+2.592269e-01,-7.397080e+01,
+2.960000e+04,+7.114771e-02,-2.484215e-01,+2.584090e-01,-7.401833e+01,
+2.970000e+04,+7.072292e-02,-2.477062e-01,+2.576046e-01,-7.406535e+01,
+2.980000e+04,+7.030966e-02,-2.470254e-01,+2.568365e-01,-7.411230e+01,
+2.990000e+04,+6.989442e-02,-2.463264e-01,+2.560506e-01,-7.415885e+01,
+3.000000e+04,+6.947757e-02,-2.456153e-01,+2.552528e-01,-7.420530e+01,
+3.010000e+04,+6.907555e-02,-2.449432e-01,+2.544968e-01,-7.425120e+01,
+3.020000e+04,+6.866705e-02,-2.442409e-01,+2.537100e-01,-7.429694e+01,
